"mealsettingid","tenantid","lunchbookingstarttime","lunchbookingendtime","lunchstarttime","lunchendtime","dinnerbookingstarttime","dinnerbookingendtime","dinnerstarttime","dinnerendtime","isactive","createddate","updateddate","createdby","updatedby"
1,1003,"10:00:00","12:00:00","13:00:00","15:00:00","16:00:00","18:00:00","19:00:00","21:00:00","Y","2025-08-02 12:56:08.397848","2025-08-02 12:56:08.397848","SYSTEM_DEFAULT",NULL
2,1004,"10:00:00","12:00:00","13:00:00","15:00:00","16:00:00","18:00:00","19:00:00","21:00:00","Y","2025-08-02 12:56:08.397848","2025-08-02 12:56:08.397848","SYSTEM_DEFAULT",NULL
3,1005,"10:00:00","12:00:00","13:00:00","15:00:00","16:00:00","18:00:00","19:00:00","21:00:00","Y","2025-08-02 12:56:08.397848","2025-08-02 12:56:08.397848","SYSTEM_DEFAULT",NULL
4,1002,"10:00:00","12:00:00","13:00:00","15:00:00","16:00:00","18:00:00","19:00:00","21:00:00","Y","2025-08-02 12:56:08.397848","2025-08-02 12:56:08.397848","SYSTEM_DEFAULT",NULL
5,1001,"10:00:00","12:00:00","13:00:00","15:00:00","16:00:00","18:00:00","19:00:00","21:00:00","Y","2025-08-02 12:56:08.397848","2025-08-04 04:40:07.030149","SYSTEM_DEFAULT","UNKNOWN"
